K,n,model,nn_donor,ctx_mean,retrieval
0,63488,0.4538731575012207,,,geo
1,63488,0.8255268335342407,0.7853931188583374,0.7853931188583374,geo
2,63488,0.8425676226615906,0.7853931188583374,0.8079991340637207,geo
4,63488,0.8447455167770386,0.7853931188583374,0.8215411305427551,geo
8,63488,0.8347675800323486,0.7853931188583374,0.7864385843276978,geo
16,63488,0.8174914717674255,0.7853931188583374,0.748579740524292,geo
32,63488,0.7966362237930298,0.7853931188583374,0.6878054141998291,geo
