K,n,model,nn_donor,ctx_mean,retrieval
0,63488,0.6234431266784668,,,random
1,63488,0.6216727495193481,-0.8079845905303955,-0.8079845905303955,random
2,63488,0.6227058172225952,-1.225813627243042,-0.5698884725570679,random
4,63488,0.6219185590744019,-0.9360482692718506,-0.14235389232635498,random
8,63488,0.6216134428977966,-0.959675669670105,0.023513615131378174,random
16,63488,0.6217237710952759,-1.1090121269226074,0.06352180242538452,random
32,63488,0.6214905381202698,-1.0941758155822754,0.08810263872146606,random
