K,n,model,nn_donor,ctx_mean,retrieval
0,31744,0.44923967123031616,,,geo
1,31744,0.8390663266181946,0.800957977771759,0.800957977771759,geo
2,31744,0.8545840382575989,0.800957977771759,0.823654055595398,geo
4,31744,0.8517009615898132,0.800957977771759,0.8311045169830322,geo
8,31744,0.8450353741645813,0.800957977771759,0.7944618463516235,geo
16,31744,0.8260414600372314,0.800957977771759,0.7554640173912048,geo
32,31744,0.803205132484436,0.800957977771759,0.7049416303634644,geo
