mask,n,model,no_attrs,no_climate,no_physical,clim,persist,attr_gain,climate_gain,physical_gain
random_span,1712,0.6061963438987732,0.564693808555603,0.6046434640884399,0.6468850374221802,-0.00014483928680419922,-0.008307933807373047,0.041502535343170166,0.001552879810333252,-0.04068869352340698
causal_tail,20848,0.802340030670166,0.6424428224563599,0.785011887550354,0.7135502696037292,-0.05301213264465332,-0.6348638534545898,0.15989720821380615,0.01732814311981201,0.08878976106643677
whole_variable,14336,0.8223821520805359,0.6272201538085938,0.750033974647522,0.7287093997001648,-0.006331205368041992,-0.37946224212646484,0.19516199827194214,0.07234817743301392,0.0936727523803711
whole_site,63488,0.7690982818603516,0.5608780384063721,0.7270992398262024,0.653626561164856,-0.04258859157562256,-0.9767298698425293,0.2082202434539795,0.04199904203414917,0.1154717206954956
