K,n,model,nn_donor,ctx_mean,retrieval
0,63488,0.5590049028396606,,,similar
1,63488,0.49077653884887695,0.15171325206756592,0.15171325206756592,similar
2,63488,0.5265898704528809,0.15171325206756592,0.31194067001342773,similar
4,63488,0.5282340049743652,0.15171325206756592,0.39300644397735596,similar
8,63488,0.539337158203125,0.15171325206756592,0.4652695655822754,similar
16,63488,0.5514246225357056,0.15171325206756592,0.4655393958091736,similar
32,63488,0.5584458708763123,0.15171325206756592,0.4333192706108093,similar
