K,n,model,nn_donor,ctx_mean,retrieval
0,63488,0.45521998405456543,,,geo
1,63488,0.8254140019416809,0.7850424647331238,0.7850424647331238,geo
2,63488,0.8517069816589355,0.7850424647331238,0.813768744468689,geo
4,63488,0.8528148531913757,0.7850424647331238,0.8292873501777649,geo
8,63488,0.8432596921920776,0.7850424647331238,0.8055525422096252,geo
16,63488,0.8276321291923523,0.7850424647331238,0.7660472989082336,geo
32,63488,0.7962915301322937,0.7850424647331238,0.6975529789924622,geo
